customer_key,customer_id,signup_date,gender,age_group,city_key,city,persona,is_gold_member,device_preference,marketing_channel
1,CUST-69411060-d199-54d8-ab14-f507f57865b2,2025-12-09,Male,25-34,28,Guwahati,value_seeker,False,Android,Google Ads
2,CUST-e75a4d2b-bcc2-5400-b9eb-12d3548f21da,2025-12-18,Female,55+,12,Lucknow,premium_foodie,True,Android,Google Ads
3,CUST-03517a22-87b6-5a30-acd2-d3001e84a68c,2025-01-10,Male,18-24,29,Ranchi,night_owl,True,Android,Offers/CRM
4,CUST-71a49cc3-195c-50e8-a9df-0691f6b1ab17,2023-12-14,Male,25-34,18,Surat,occasional,False,Android,Organic
5,CUST-1446d272-311b-55d5-a17a-4858e1c87e15,2024-12-23,Male,18-24,27,Mangaluru,habitual_regular,True,Android,Google Ads
6,CUST-5567c882-8b0d-5ce0-a0d4-c05a26c77a39,2023-10-03,Female,25-34,4,Hyderabad,occasional,False,Android,Organic
7,CUST-9f6b8f9d-ad89-5458-a159-200f4193d1e8,2026-02-09,Male,45-54,1,Bengaluru,value_seeker,False,Android,Push Notification
8,CUST-21a952c8-b67d-5e74-9685-504bec160e3a,2025-01-16,Male,35-44,46,Patna,value_seeker,False,Android,Referral
9,CUST-00743c43-54ca-5beb-89ea-93b1d5c3dc51,2025-12-29,Female,18-24,19,Bhubaneswar,premium_foodie,True,Android,Referral
10,CUST-4e8c63c8-6ea4-5800-bab5-9ca7ae2f9891,2026-05-20,Male,25-34,31,Dehradun,occasional,False,iOS,Referral
11,CUST-f4bb6437-44da-5d40-93df-bb9fd293f9e0,2024-10-14,Female,35-44,14,Kochi,value_seeker,False,iOS,Offers/CRM
12,CUST-1c81db68-7008-5a9b-a4fc-668c6b9d1c35,2024-03-11,Male,25-34,6,Chennai,occasional,False,Android,Instagram Ads
13,CUST-1be3b868-754e-5b3a-a079-752a517fde21,2024-05-17,Female,18-24,8,Gurugram,habitual_regular,True,Android,Google Ads
14,CUST-ded92823-3a52-551f-aa59-ef52492e85ad,2025-11-16,Male,35-44,17,Nagpur,value_seeker,False,Android,Instagram Ads
15,CUST-5d7cfedf-a5f3-527f-9292-381ac3dbaaa2,2024-05-10,Male,25-34,13,Chandigarh,night_owl,False,iOS,Instagram Ads
16,CUST-8ae3f220-a0ed-5efe-b516-52f7c46fb347,2024-09-25,Male,45-54,1,Bengaluru,value_seeker,True,Android,Instagram Ads
17,CUST-44aab551-faff-5d6f-8319-1ccb890feba4,2025-07-26,Male,35-44,15,Indore,occasional,False,Android,Instagram Ads
18,CUST-a36f1619-f758-5089-a2fc-0aa5c6721081,2025-01-17,Male,18-24,7,Kolkata,habitual_regular,True,Android,Referral
19,CUST-51692947-0c45-50ee-9e8e-330ec2ed4b7b,2024-03-20,Male,45-54,24,Kanpur,habitual_regular,True,Android,Organic
20,CUST-d7c36775-c3bc-57cb-9d0e-b3fa6cb9641b,2025-02-27,Female,18-24,28,Guwahati,habitual_regular,False,Android,Push Notification
21,CUST-e4b95e3a-ad69-54af-80b3-c7c3d324ced2,2025-01-16,Male,25-34,15,Indore,occasional,False,Android,Offers/CRM
22,CUST-5f4e876a-f712-5a71-8623-b0e4df853d2c,2025-09-10,Female,35-44,6,Chennai,habitual_regular,True,Android,Organic
23,CUST-4edc3ce3-2eb2-52e0-93d6-8a4cb92870ea,2024-11-30,Female,18-24,23,Nashik,premium_foodie,True,Android,Instagram Ads
24,CUST-476c11ee-c773-526e-a081-5e9c00832e70,2026-01-09,Female,18-24,42,Siliguri,value_seeker,False,Android,Instagram Ads
25,CUST-093b5dbf-8d46-5550-bb1b-fde423897ea7,2024-04-30,Male,18-24,3,Mumbai,habitual_regular,False,Android,Organic
26,CUST-c47bdff2-548e-5cad-8799-bee6f3d06171,2025-03-25,Female,45-54,26,Mysuru,occasional,True,Android,Push Notification
27,CUST-592f1784-6a01-5400-be3f-455cef0415bd,2026-01-04,Female,25-34,1,Bengaluru,premium_foodie,True,Android,Google Ads
28,CUST-68e9e71a-1a70-58a4-8d46-50f3692dda29,2024-06-23,Male,45-54,4,Hyderabad,night_owl,False,Android,Offers/CRM
29,CUST-50e6db01-947d-58ff-9fef-443e8383feea,2024-05-01,Male,18-24,35,Udaipur,occasional,False,iOS,Offers/CRM
30,CUST-d8d7b35d-dc5a-5a99-9470-cb14e60c74ab,2025-06-17,Male,18-24,1,Bengaluru,value_seeker,False,Web,Google Ads
31,CUST-93def59c-61c3-57ad-be7b-6da5339751e6,2025-05-07,Female,25-34,2,Delhi,habitual_regular,False,Web,Instagram Ads
32,CUST-daa141cf-94a7-5c6f-a5a5-3cd218b06370,2026-05-20,Male,25-34,3,Mumbai,occasional,False,Android,Organic
33,CUST-957d96b9-6767-5e83-9f49-0f47722198b2,2026-01-07,Female,25-34,10,Ahmedabad,value_seeker,False,Android,Organic
34,CUST-e448450b-87ab-538b-b261-84b46e8241a2,2024-08-18,Female,25-34,10,Ahmedabad,habitual_regular,False,Android,Organic
35,CUST-6f8708cb-49b2-5939-bc44-8749a22632e4,2023-11-24,Other,25-34,8,Gurugram,premium_foodie,True,iOS,Organic
36,CUST-f1162282-ea93-5c5d-bc60-a65f4e3e9c39,2024-05-27,Male,18-24,42,Siliguri,occasional,False,iOS,Google Ads
37,CUST-7b89bf80-9ca8-54a7-a5ef-7f861c422112,2024-11-30,Male,35-44,1,Bengaluru,value_seeker,False,Android,Google Ads
38,CUST-89d52f5e-06b6-5a5f-af80-561898d48350,2023-09-02,Female,18-24,38,Madurai,occasional,False,Web,Organic
39,CUST-7e1197d4-4458-5d52-a4e3-279e3f256119,2024-06-21,Female,25-34,1,Bengaluru,habitual_regular,False,Android,Referral
40,CUST-fe6b8256-1067-5df9-a0c8-2f09512215bb,2026-01-04,Female,25-34,1,Bengaluru,occasional,True,Android,Referral
41,CUST-d44b62a5-4ad3-5ff2-ac89-a4b91252f0d6,2025-06-22,Male,25-34,2,Delhi,habitual_regular,True,iOS,Organic
42,CUST-5b36dfa6-b370-5822-b6ba-d68ad81835e9,2023-04-27,Male,18-24,26,Mysuru,occasional,False,Android,Google Ads
43,CUST-537503d4-5a8e-505e-a1de-871a079540a2,2023-01-26,Male,35-44,10,Ahmedabad,value_seeker,False,iOS,Organic
44,CUST-7b7b9a26-af6f-58d1-87e8-934799fe6354,2024-11-12,Male,18-24,11,Jaipur,habitual_regular,False,Android,Google Ads
45,CUST-e67793e7-e3a1-5305-84d1-1cb2bad34c13,2023-05-07,Female,25-34,8,Gurugram,habitual_regular,False,Android,Organic
46,CUST-cda9bea0-5afb-5d35-ad09-447eb94aab04,2024-08-18,Female,45-54,10,Ahmedabad,occasional,False,Android,Instagram Ads
47,CUST-002223f4-203c-571d-88b6-15df0433f629,2024-04-19,Male,25-34,2,Delhi,occasional,False,Android,Organic
48,CUST-85849dde-39bc-524f-b0b6-2de07cf9eb7d,2025-02-27,Female,55+,34,Jodhpur,value_seeker,False,Android,Instagram Ads
49,CUST-41568fc9-b8e6-5d42-a953-d4aa7e292ae3,2025-05-29,Male,35-44,11,Jaipur,occasional,False,Android,Push Notification
50,CUST-0159ab32-0001-5aa4-8c7e-7430d0efbfbf,2025-10-06,Female,25-34,7,Kolkata,occasional,False,iOS,Instagram Ads
51,CUST-b1fe0240-2bd3-5d1d-aafe-43af53030b2c,2024-12-24,Male,25-34,8,Gurugram,habitual_regular,True,Android,Instagram Ads
52,CUST-af6b9756-77fd-524e-bced-1915586f7ebb,2025-07-15,Male,45-54,47,Kota,premium_foodie,True,Android,Google Ads
53,CUST-e00a7c1b-bbbe-5d5f-8297-6a7c88fb622c,2025-08-02,Male,18-24,18,Surat,value_seeker,False,Android,Organic
54,CUST-bce3c041-7039-5d26-9fc7-f1684abd801e,2024-09-19,Female,25-34,20,Vadodara,habitual_regular,False,Android,Google Ads
55,CUST-802b3c1b-6bff-5eb9-98f3-f8177c5ebc41,2024-07-28,Female,35-44,32,Amritsar,value_seeker,False,Android,Referral
56,CUST-d44c6669-5d65-5d89-8555-57b1732c56dc,2025-09-22,Male,18-24,41,Rajkot,night_owl,False,Web,Offers/CRM
57,CUST-947c3602-e54e-5aa0-a0a3-4c4ab800c63b,2024-04-11,Male,45-54,3,Mumbai,occasional,False,Android,Organic
58,CUST-bdb2e5b4-d4f4-51c4-95a7-d494cf397f80,2023-06-29,Male,25-34,36,Varanasi,occasional,True,Android,Google Ads
59,CUST-a987ec77-b42e-5bfc-9f58-300f6ce0a080,2023-06-09,Female,25-34,35,Udaipur,occasional,False,iOS,Google Ads
60,CUST-63c33709-103e-54f3-8977-e4fc39573bb9,2024-09-25,Male,25-34,33,Ludhiana,value_seeker,True,Android,Google Ads
61,CUST-5678ecd3-f26d-53c6-a8bf-a2782c103ca1,2026-06-11,Male,25-34,11,Jaipur,occasional,False,Android,Organic
62,CUST-4c78a617-512d-5109-9939-16f99b9b5e38,2025-03-12,Male,35-44,2,Delhi,occasional,False,Web,Organic
63,CUST-f07996d6-ba07-5b3d-b66d-522aebeaa49c,2024-08-28,Male,35-44,16,Coimbatore,value_seeker,False,Android,Instagram Ads
64,CUST-824a1c3f-a38e-5e77-bb0e-ac6db8d794e4,2025-09-24,Male,45-54,20,Vadodara,habitual_regular,True,Android,Referral
65,CUST-0011ad4f-b451-5174-85fa-a96a2a259aa0,2023-11-24,Male,18-24,1,Bengaluru,habitual_regular,True,Android,Google Ads
66,CUST-f66f927a-3951-571c-8dda-add2d49f6a4b,2026-03-01,Male,25-34,28,Guwahati,occasional,False,Android,Push Notification
67,CUST-5e3d5211-2ff3-5d05-a68e-006f370e68df,2026-06-26,Male,18-24,20,Vadodara,occasional,False,Android,Organic
68,CUST-e26d1894-1ef2-5620-912f-eb75cc93fc93,2025-08-09,Female,25-34,2,Delhi,value_seeker,False,Android,Organic
69,CUST-dc548d53-4922-5815-b923-cf7828c8076d,2023-10-24,Male,18-24,5,Pune,habitual_regular,True,Android,Referral
70,CUST-c605a5f3-5a0e-5d88-8309-7d5e42d67d8e,2026-04-22,Male,35-44,16,Coimbatore,occasional,False,Android,Offers/CRM
71,CUST-1d337c32-0a46-5f56-84a7-dcf55646d7da,2023-10-11,Male,18-24,1,Bengaluru,value_seeker,False,Android,Referral
72,CUST-f0f7d95a-9605-5093-b9c1-38e3732e391e,2023-11-11,Female,25-34,16,Coimbatore,occasional,False,iOS,Referral
73,CUST-7009ca70-d131-5802-9a25-93bc2863e116,2025-10-30,Female,35-44,8,Gurugram,occasional,True,Android,Google Ads
74,CUST-092ac0d7-a18d-596b-b062-5105d896ea02,2025-11-03,Male,35-44,18,Surat,night_owl,True,Android,Instagram Ads
75,CUST-868a66de-ae2a-5fd7-821a-8a217ae9e7ff,2024-04-11,Male,55+,39,Vijayawada,habitual_regular,True,Android,Google Ads
76,CUST-82e90b0a-cd33-5db8-84d7-3a353fcfb86d,2025-10-07,Male,18-24,43,Warangal,occasional,False,iOS,Push Notification
77,CUST-27690f99-3b16-52d5-99d4-d735317d9de2,2026-04-24,Female,18-24,13,Chandigarh,occasional,True,iOS,Organic
78,CUST-7828a14a-4dd2-5942-851c-e505f3ac737d,2026-01-29,Other,25-34,48,Gwalior,value_seeker,False,Android,Organic
79,CUST-f279fd25-256f-57fc-b7f0-f1063978214e,2024-06-19,Male,18-24,5,Pune,occasional,False,Web,Organic
80,CUST-edaa3390-2a27-53ed-95fc-aafc09419e39,2024-10-06,Male,35-44,41,Rajkot,value_seeker,False,Android,Referral
81,CUST-c50bb85f-7742-5ac7-8b1c-74bb90ffa8ef,2026-06-10,Male,25-34,8,Gurugram,occasional,False,Android,Offers/CRM
82,CUST-88db8e2d-9b4b-5620-8e73-59f917623631,2025-02-05,Male,25-34,33,Ludhiana,occasional,False,iOS,Google Ads
83,CUST-55bf8787-debe-5717-8014-2ced63d39594,2026-02-19,Female,18-24,14,Kochi,night_owl,False,Android,Referral
84,CUST-87f89419-bf0f-569c-b4b2-dba30feadd92,2023-04-03,Other,35-44,22,Bhopal,night_owl,False,Android,Organic
85,CUST-e1a0b62d-ad81-5281-993f-848d617911c8,2023-04-07,Female,18-24,14,Kochi,night_owl,True,Web,Offers/CRM
86,CUST-26f7b34c-a362-5714-b305-9276e2b7f293,2024-01-05,Male,45-54,35,Udaipur,occasional,False,Android,Referral
87,CUST-60b69027-d71b-5362-816b-ec7630a1c996,2024-06-29,Male,55+,33,Ludhiana,premium_foodie,False,Android,Offers/CRM
88,CUST-a14f231c-fe95-5830-845f-9271608b7f4e,2026-03-15,Male,18-24,3,Mumbai,occasional,True,iOS,Push Notification
