restaurant_key,restaurant_id,restaurant_name,cuisine,city_key,price_tier,price_symbol,rating,num_ratings,commission_rate,avg_prep_time_mins,is_pure_veg
1,RST-ae148793-627f-535f-b447-94fe7cdcccda,Gill North Junction,North Indian,33,Mid,₹₹,3.54,1,0.228,16,False
2,RST-5189d862-3065-533d-bf83-3bd6cc49aadf,Bhattacharyya North Biryani House,North Indian,26,Premium,₹₹₹,4.69,2,0.246,27,False
3,RST-2f3aa26d-f91b-59bf-bee2-1fdc01fc54cb,Dave Biryani Dhaba,Biryani,49,Budget,₹,3.77,1,0.238,11,False
4,RST-f81cc82e-0359-5221-b124-b920e0c6e69a,Bhattacharyya Fast Corner,Fast Food,12,Premium,₹₹₹,4.65,12,0.201,10,False
5,RST-82e57ded-5939-539b-a28b-2c899b3ec59a,Datta Healthy Cafe,Healthy,44,Premium,₹₹₹,3.39,1,0.177,19,False
6,RST-4840e324-f0ed-51cf-8c12-f5bc06bf9c9e,Lad Rolls Cafe,Rolls,42,Budget,₹,4.81,2,0.194,23,False
7,RST-6f3838ff-d051-56a1-ad4f-c1441069b670,Kari Beverages Dhaba,Beverages,5,Mid,₹₹,4.55,3,0.191,15,False
8,RST-4a107c5b-3b20-5ec8-b0e5-4da0e1da418b,Virk Chinese Corner,Chinese,31,Mid,₹₹,4.5,103,0.235,11,True
9,RST-aac5ce7d-575f-5578-b914-60c5c1302951,Mahal Biryani Dhaba,Biryani,24,Budget,₹,3.25,2,0.218,16,True
10,RST-7eb28414-95ef-5057-b332-3779cd0b9594,Handa Street Kitchen,Street Food,22,Budget,₹,4.26,2,0.243,16,False
11,RST-ba905f9c-d45d-533b-94aa-d144d84c0eb8,Bajaj Biryani Corner,Biryani,35,Budget,₹,4.16,1,0.211,15,False
12,RST-68339a24-d036-5c36-af70-7ff08827f157,Walia Desserts Dhaba,Desserts,6,Premium,₹₹₹,5.0,4,0.205,14,False
13,RST-f6cc11eb-d6b3-545f-91eb-65888da9f19a,Krishnan Fast Foods,Fast Food,6,Mid,₹₹,4.3,1,0.234,21,True
14,RST-2552c1c3-0d27-561b-a279-b8c7c3f7562a,Setty South Point,South Indian,14,Mid,₹₹,4.87,63,0.234,21,False
15,RST-906f91d1-ee9e-5dac-9303-328218cf5391,Agate Fast Kitchen,Fast Food,20,Mid,₹₹,4.64,1,0.192,9,True
16,RST-a911b43a-3df4-53c2-b90e-d18368256453,Sane South House,South Indian,33,Mid,₹₹,4.14,6,0.225,6,False
17,RST-3371cee7-2b27-5f1f-a5d9-20ac80633cd2,Ben North Restaurant,North Indian,32,Budget,₹,4.28,2,0.189,15,True
18,RST-7b9f4de5-ce60-5c3f-94ff-9d37ca842098,Naidu South Express,South Indian,18,Mid,₹₹,3.63,1,0.235,17,True
19,RST-c54e315a-d67a-58e1-89fc-6c7d1bcee78a,Sankaran South Biryani House,South Indian,44,Budget,₹,4.53,1,0.222,18,False
20,RST-316253e5-c96b-5f09-b740-e1e3b0c056a3,Ray Chinese Corner,Chinese,3,Budget,₹,4.03,3,0.205,22,False
21,RST-91974b48-5da4-54d6-8f89-c9faae439f24,Mahal Cafe Restaurant,Cafe,43,Budget,₹,3.49,1,0.221,20,True
22,RST-4513ee16-ba65-582d-9385-265b02c847e5,Dara Chinese Point,Chinese,1,Budget,₹,4.8,1,0.15,27,True
23,RST-5d132ebd-6575-57e6-8fe0-7f8ff90fac74,Vasa Beverages Corner,Beverages,10,Budget,₹,4.71,3,0.228,23,True
